UF,PA
Cidade,ALMEIRIM
Nome Posto,ALMEIRIM
Latitude,-1.5263888888888888
Longitude,-52.57833333333333
Codigo,152005
Qtd. Anos,38
Ano,Maxima
1982,120.2
1983,70.2
1984,142.2
1985,82
1986,74
1987,72.1
1988,105
1989,147.4
1990,110
1991,126.4
1992,96.7
1993,98.2
1994,70.3
1995,92.6
1996,68.3
1997,121.2
1998,80.9
1999,88
2000,72.2
2001,93.3
2002,94.5
2003,125.5
2004,114.2
2005,96.8
2006,99
2007,99.8
2008,88.1
2009,89
2010,145.1
2011,98.6
2012,76.4
2013,72.7
2014,110
2015,95.1
2016,150.6
2017,123
2018,83.4
2019,72.3
