UF,PA
Cidade,SALINOPOLIS
Nome Posto,SALINOPOLIS
Latitude,-0.6230555555555556
Longitude,-47.353611111111114
Codigo,47002
Qtd. Anos,43
Ano,Maxima
1977,71.5
1978,178
1979,119.4
1980,119.2
1981,62.7
1982,127.6
1983,146.8
1984,189.8
1985,121.6
1986,148.3
1987,155.6
1988,119.8
1989,140.3
1990,148.6
1991,150.2
1992,128.5
1993,142.3
1994,110.2
1995,232.7
1996,183.4
1997,127.9
1998,103.4
1999,96.1
2000,102.5
2001,134.2
2002,130.3
2003,113.7
2004,150.4
2005,145.9
2006,146.2
2007,147.6
2008,147.8
2009,108.5
2010,132.4
2011,149.9
2012,86.2
2013,98.9
2014,151.6
2015,102.8
2016,113.1
2017,130.7
2018,127.3
2019,159.6
