UF,PA
Cidade,ORIXIMINA
Nome Posto,VISTA ALEGRE - CONJ 1
Latitude,-1.101388888888889
Longitude,-56.04
Codigo,156000
Qtd. Anos,39
Ano,Maxima
1977,35.2
1978,79.6
1979,70
1980,72.8
1981,86.8
1982,102.2
1983,66.6
1984,121.7
1985,91.6
1986,84.9
1987,85.6
1988,76
1993,101
1994,119.9
1995,98.7
1996,128.9
1997,123.6
1998,122.9
1999,99.9
2000,90.2
2001,78.9
2002,130
2003,63.6
2004,81.8
2005,62.4
2006,130.2
2007,94.2
2008,103.7
2009,70.4
2010,88
2011,89.6
2012,91.3
2013,70.5
2014,76.7
2015,48.5
2016,300
2017,79.8
2018,69.7
2019,93.4
