UF,PA
Cidade,IPIXUNA DO PARA
Nome Posto,FAZENDA SAO RAIMUNDO
Latitude,-2.426111111111111
Longitude,-47.51611111111111
Codigo,247004
Qtd. Anos,38
Ano,Maxima
1982,26.6
1983,91
1984,98.4
1985,143.7
1986,109.8
1987,77.4
1988,85
1989,106.1
1990,70.1
1991,70
1992,147.9
1993,67.1
1994,83.2
1995,100.2
1996,145.6
1997,105
1998,80.3
1999,85
2000,87.6
2001,133.3
2002,109.5
2003,91.2
2004,60.8
2005,92
2006,75.9
2007,96.8
2008,124.9
2009,131.8
2010,86.6
2011,115.8
2012,50
2013,91.2
2014,48
2015,40
2016,66.5
2017,131
2018,82
2019,81.3
