UF,PA
Cidade,ITAITUBA
Nome Posto,KM 947 BR-163
Latitude,-8.187222222222223
Longitude,-55.11944444444445
Codigo,855000
Qtd. Anos,43
Ano,Maxima
1977,83.6
1978,102.8
1979,124.6
1980,103.2
1981,114
1982,26.3
1983,146.8
1984,44.2
1985,83.3
1986,91
1987,69.2
1988,92.5
1989,81.2
1990,64.4
1991,93.1
1992,154
1993,230.5
1994,81
1995,125.5
1996,100.9
1997,77.7
1998,96.8
1999,131.7
2000,88.9
2001,98.7
2002,38.5
2003,90
2004,104
2005,78.2
2006,121.2
2007,110.7
2008,62.3
2009,79.9
2010,96.7
2011,93
2012,103.7
2013,114.7
2014,81.5
2015,114.1
2016,104.6
2017,96.3
2018,96.8
2019,98.9
