UF,PA
Cidade,ACARA
Nome Posto,FAZENDA URUCURE
Latitude,-2.447777777777778
Longitude,-48.578611111111115
Codigo,248001
Qtd. Anos,37
Ano,Maxima
1982,48.7
1983,84
1984,60
1985,71.4
1986,77
1987,86.8
1988,88.4
1989,88
1990,87.5
1991,65
1992,163.8
1993,104.9
1994,141.5
1995,157.3
1996,88.3
1997,88
1998,126.3
1999,69
2000,100
2001,83.1
2002,95.6
2003,71.1
2004,102.3
2005,75.6
2007,57
2008,131
2009,114.6
2010,98.8
2011,108
2012,100.2
2013,101.2
2014,76.9
2015,104.6
2016,83
2017,83.7
2018,110
2019,92.7
