UF,PA
Cidade,ALENQUER
Nome Posto,JARILANDIA
Latitude,-1.1233333333333333
Longitude,-51.99638888888889
Codigo,151000
Qtd. Anos,40
Ano,Maxima
1980,53
1981,57.8
1982,67
1983,64.6
1984,78.6
1985,104.5
1986,68.2
1987,123.1
1988,125
1989,109.6
1990,80.8
1991,75.6
1992,51.7
1993,88.3
1994,75.3
1995,96.5
1996,77.5
1997,89.6
1998,82.5
1999,99.8
2000,87.6
2001,63.1
2002,61.4
2003,93.5
2004,122.6
2005,134.4
2006,213.2
2007,79.8
2008,153.6
2009,105.3
2010,115.3
2011,95.3
2012,73.5
2013,95.9
2014,97.6
2015,65.7
2016,68.6
2017,75.3
2018,75.1
2019,83.5
