UF,PA
Cidade,VISEU
Nome Posto,TARARUA - PONTE
Latitude,-1.7330555555555556
Longitude,-46.598888888888894
Codigo,146005
Qtd. Anos,48
Ano,Maxima
1972,55
1973,87.3
1974,88
1975,98
1976,90
1977,73
1978,114.4
1979,75
1980,69
1981,92.2
1982,49
1983,83.2
1984,111.6
1985,101.8
1986,86.6
1987,73.8
1988,72.4
1989,72.2
1990,31.9
1991,62.2
1992,68.6
1993,70.9
1994,62.7
1995,60.4
1996,63
1997,78.3
1998,56.3
1999,93.2
2000,96.7
2001,99.5
2002,122.4
2003,82.8
2004,54
2005,81.8
2006,91.8
2007,78.5
2008,47.5
2009,64.7
2010,69.7
2011,81.1
2012,58.5
2013,70.3
2014,93.3
2015,67.2
2016,88.2
2017,96.3
2018,83.7
2019,109.3
