UF,PA
Cidade,IGARAPE-ACU
Nome Posto,IGARAPE-ACU
Latitude,-1.1325
Longitude,-47.62833333333333
Codigo,147010
Qtd. Anos,40
Ano,Maxima
1980,24.2
1981,68.6
1982,90
1983,85.8
1984,100
1985,93.4
1986,145.4
1987,86
1988,165.3
1989,106
1990,92.3
1991,154.5
1992,96.8
1993,103
1994,91.8
1995,76.8
1996,78.8
1997,139.6
1998,130.3
1999,96.7
2000,90.7
2001,73.1
2002,72.2
2003,98.2
2004,197.3
2005,76.4
2006,76.4
2007,76
2008,69.8
2009,128.6
2010,76.3
2011,97.9
2012,53.6
2013,58.7
2014,67.3
2015,74.4
2016,63.2
2017,104.6
2018,158.1
2019,90.9
