UF,PA
Cidade,IRITUIA
Nome Posto,COLONIA SANTO ANTONIO
Latitude,-1.6549999999999998
Longitude,-47.49138888888889
Codigo,147011
Qtd. Anos,38
Ano,Maxima
1982,20.2
1983,85.8
1984,100
1985,100
1986,109.5
1987,101.7
1988,73.9
1989,83.9
1990,105.7
1991,100.9
1992,92.3
1993,78.5
1994,73.1
1995,76.5
1996,49.7
1997,81.3
1998,92.3
1999,63.2
2000,98.7
2001,82.4
2002,79.5
2003,216.1
2004,70.6
2005,103
2006,97.2
2007,54.6
2008,78.4
2009,109.7
2010,80.9
2011,133.5
2012,70.9
2013,99.6
2014,114
2015,101.1
2016,78.9
2017,68.6
2018,126.1
2019,60.5
