UF,PA
Cidade,ORIXIMINA
Nome Posto,ORIXIMINA
Latitude,-1.7597222222222222
Longitude,-55.86138888888889
Codigo,155000
Qtd. Anos,51
Ano,Maxima
1968,51
1969,121
1970,105
1971,76.5
1972,83
1973,86.3
1974,67.7
1975,93.9
1976,181.6
1977,70.4
1978,75.7
1979,74.3
1980,99.3
1981,99.7
1982,161.6
1983,92.2
1984,120.3
1985,126.2
1986,144.6
1987,71.6
1988,82.5
1990,31.4
1991,128.3
1992,70.5
1993,65.8
1994,88.4
1995,127.9
1996,116.2
1997,65.5
1998,95
1999,144.5
2000,137.6
2001,85
2002,84.2
2003,111.6
2004,88.4
2005,91.1
2006,137.3
2007,78.8
2008,101.2
2009,85.8
2010,119.4
2011,112.9
2012,79.1
2013,88.5
2014,100.3
2015,126.3
2016,91.5
2017,92
2018,103.8
2019,70
