UF,PA
Cidade,JACAREACANGA
Nome Posto,JACAREACANGA
Latitude,-6.235555555555556
Longitude,-57.775277777777774
Codigo,657000
Qtd. Anos,38
Ano,Maxima
1982,96.9
1983,84.3
1984,97.3
1985,173.7
1986,115.6
1987,113.4
1988,152.5
1989,87.2
1990,81.1
1991,162.4
1992,133.6
1993,100
1994,134.7
1995,121.7
1996,76.4
1997,82.4
1998,59.7
1999,77
2000,91.1
2001,85.2
2002,82.4
2003,65.2
2004,95.2
2005,135.4
2006,121.5
2007,123.1
2008,124.4
2009,130.9
2010,108.2
2011,137.7
2012,173.5
2013,72.7
2014,89.6
2015,105.3
2016,131.5
2017,113.1
2018,104.1
2019,68.9
