UF,PA
Cidade,CASTANHAL
Nome Posto,CASTANHAL
Latitude,-1.2974999999999999
Longitude,-47.93944444444444
Codigo,147007
Qtd. Anos,48
Ano,Maxima
1972,46
1973,147.5
1974,115.4
1975,92.7
1976,108.8
1977,93
1978,100
1979,77.4
1980,134.2
1981,104.5
1982,74.4
1983,61.6
1984,63.6
1985,68.5
1986,61
1987,71.9
1988,90.1
1989,139.1
1990,100
1991,193.4
1992,92
1993,445.1
1994,99
1995,45.2
1996,117.8
1997,90.5
1998,79
1999,128.2
2000,60.5
2001,228.6
2002,80.4
2003,58.4
2004,180.7
2005,168.5
2006,90.8
2007,73.2
2008,106.3
2009,156.6
2010,65.3
2011,108.5
2012,52.3
2013,78.9
2014,65.3
2015,48.6
2016,80.7
2017,132.3
2018,142.3
2019,75.3
