UF,PA
Cidade,ALTAMIRA
Nome Posto,MONTE ALEGRE DO XINGU
Latitude,-4.665555555555556
Longitude,-52.72027777777778
Codigo,452000
Qtd. Anos,43
Ano,Maxima
1976,20.5
1977,111
1978,88
1979,66.8
1980,150
1981,69.6
1982,74
1983,75
1984,85
1985,114
1986,169.6
1987,182.8
1988,100.6
1989,100
1991,66.2
1992,100
1993,120
1994,88.8
1995,75.8
1996,81.3
1997,129.3
1998,128.8
1999,81
2000,86.7
2001,91.5
2002,102.5
2003,102.3
2004,50
2005,118.5
2006,102.7
2007,104.5
2008,98.8
2009,78
2010,101.8
2011,84.5
2012,90.3
2013,66
2014,100
2015,82.1
2016,69.9
2017,109.8
2018,92.7
2019,95.8
