UF,PA
Cidade,PRAINHA
Nome Posto,PRAINHA
Latitude,-1.801111111111111
Longitude,-53.480000000000004
Codigo,153000
Qtd. Anos,40
Ano,Maxima
1980,19.1
1981,75
1982,132
1983,50.8
1984,83.6
1985,207
1986,145.6
1987,62
1988,109
1989,104.8
1990,86.2
1991,75.6
1992,38.8
1993,75.4
1994,59.5
1995,72.4
1996,112.8
1997,48.8
1998,89.9
1999,127.3
2000,123.4
2001,77.6
2002,59.8
2003,137.8
2004,57.4
2005,68.3
2006,122.4
2007,86.8
2008,73.1
2009,72.4
2010,104.6
2011,92
2012,82.6
2013,103.4
2014,88.2
2015,91
2016,93
2017,99
2018,83.8
2019,71
