UF,PA
Cidade,PARAGOMINAS
Nome Posto,FAZENDA RURAL ZEBU
Latitude,-3.334166666666667
Longitude,-46.873333333333335
Codigo,346001
Qtd. Anos,36
Ano,Maxima
1981,103.5
1982,92.4
1983,82
1984,121.7
1985,25.6
1986,53.6
1987,102.7
1988,68
1992,60.7
1993,10.1
1994,104.2
1995,65
1996,45.6
1997,60.6
1998,46.4
1999,72.7
2000,70
2001,104.2
2002,101.3
2003,51.7
2004,117.3
2005,135
2006,100
2007,94.2
2008,93
2009,110.9
2010,99.7
2011,123.3
2012,91.4
2013,80
2014,87.9
2015,88.2
2016,59.1
2017,92.2
2018,144.3
2019,145.4
