UF,PA
Cidade,MOJU
Nome Posto,VILA ELIM
Latitude,-2.804444444444444
Longitude,-49.37777777777778
Codigo,249002
Qtd. Anos,40
Ano,Maxima
1980,73.8
1981,79.4
1982,90
1983,110.2
1984,104.8
1985,105
1986,104.1
1987,137.8
1988,93
1989,91
1990,108.3
1991,75.4
1992,79.5
1993,100.5
1994,99.3
1995,114.5
1996,184.4
1997,89
1998,93.9
1999,115.4
2000,133.6
2001,64
2002,80
2003,81.2
2004,120.9
2005,93.8
2006,150.7
2007,87.6
2008,145
2009,91
2010,137.3
2011,147.3
2012,90.9
2013,95.6
2014,122.6
2015,68.7
2016,98.7
2017,90.3
2018,139.5
2019,131.3
