UF,PA
Cidade,ACARA
Nome Posto,ACARA
Latitude,-1.961111111111111
Longitude,-48.20638888888889
Codigo,148009
Qtd. Anos,40
Ano,Maxima
1980,64.2
1981,123.4
1982,116.4
1983,64
1984,123.8
1985,86.4
1986,100
1987,118
1988,115
1989,144.5
1990,128.2
1991,114.5
1992,87
1993,84.2
1994,150.2
1995,157.6
1996,112
1997,132.4
1998,80
1999,108.1
2000,134.7
2001,86.4
2002,78.3
2003,94.5
2004,76.5
2005,92.9
2006,101.9
2007,141.8
2008,92.1
2009,95.6
2010,109.3
2011,94.2
2012,86.2
2013,86.3
2014,93.4
2015,98.7
2016,104.1
2017,112.3
2018,77.9
2019,109.5
