UF,PA
Cidade,PORTEL
Nome Posto,CIPOAL
Latitude,-2.7849999999999997
Longitude,-50.453611111111115
Codigo,250000
Qtd. Anos,43
Ano,Maxima
1977,39.6
1978,130.6
1979,118
1980,121.6
1981,67.4
1982,99
1983,78.2
1984,102.2
1985,89.6
1986,101.8
1987,78.8
1988,100.6
1989,129.7
1990,139.1
1991,92.6
1992,110.7
1993,89.3
1994,93.3
1995,147.6
1996,117.3
1997,146.7
1998,89.2
1999,84
2000,87.5
2001,75.7
2002,96.9
2003,85.4
2004,104.4
2005,72.6
2006,89.9
2007,145
2008,68.8
2009,139
2010,110.7
2011,77.1
2012,96.2
2013,139.3
2014,67.9
2015,100.7
2016,89.6
2017,96.7
2018,83.1
2019,100.6
