UF,PA
Cidade,BAIAO
Nome Posto,BAIAO
Latitude,-2.7849999999999997
Longitude,-49.669444444444444
Codigo,249003
Qtd. Anos,36
Ano,Maxima
1984,46.6
1985,93.5
1986,129.1
1987,120.6
1988,111.3
1989,67.8
1990,65.6
1991,122.6
1992,99.1
1993,123.3
1994,226.4
1995,169.8
1996,80.7
1997,91.3
1998,140.3
1999,128.9
2000,130.8
2001,137.1
2002,128.9
2003,117.4
2004,86.8
2005,98.8
2006,98.7
2007,96.8
2008,87.2
2009,76.7
2010,97.5
2011,93.9
2012,87.1
2013,69.3
2014,89.1
2015,70.6
2016,90
2017,91.7
2018,91.2
2019,129.5
