UF,PA
Cidade,BARCARENA
Nome Posto,VILA DO CONDE
Latitude,-1.5655555555555556
Longitude,-48.76694444444444
Codigo,148011
Qtd. Anos,40
Ano,Maxima
1980,22
1981,113.5
1982,131.4
1983,99
1984,88.4
1985,100.2
1986,109.3
1987,84
1988,137.3
1989,79.4
1990,50
1991,102.7
1992,81.5
1993,78.8
1994,98.5
1995,96.8
1996,88.3
1997,95.9
1998,58
1999,83.2
2000,74.3
2001,113.6
2002,62.3
2003,60.7
2004,60
2005,51.5
2006,60.3
2007,92.3
2008,80.8
2009,133.7
2010,76
2011,105.5
2012,459.4
2013,138.1
2014,188.3
2015,67.8
2016,83.5
2017,69.1
2018,83.5
2019,485.2
