UF,PA
Cidade,JURUTI
Nome Posto,JURUTI
Latitude,-2.152222222222222
Longitude,-56.087500000000006
Codigo,256001
Qtd. Anos,38
Ano,Maxima
1982,48.5
1983,106.5
1984,136.5
1985,150
1986,94.1
1987,127.6
1988,136.1
1989,157.2
1990,99.5
1991,101.9
1992,75.6
1993,95.2
1994,106.5
1995,95.9
1996,112.1
1997,80.7
1998,90.4
1999,143.7
2000,152.7
2001,92.1
2002,143.9
2003,87.9
2004,39
2005,117.2
2006,94.8
2007,85.2
2008,117.2
2009,193
2010,153.7
2011,84.7
2012,97.3
2013,140.3
2014,80
2015,103.6
2016,72.6
2017,90.7
2018,52.6
2019,52.8
