UF,PA
Cidade,PORTO DE MOZ
Nome Posto,PORTO DE MOZ
Latitude,-1.7333333333333334
Longitude,-52.233333333333334
Codigo,152001
Qtd. Anos,52
Ano,Maxima
1963,71
1964,96.2
1965,59.8
1966,78.2
1967,102.2
1968,110.1
1969,75.6
1970,90
1971,152
1972,138.2
1973,102.6
1974,76
1975,46.4
1976,94
1977,74
1978,42.6
1979,68.4
1980,85.8
1981,68.3
1982,92.1
1983,76
1984,144.9
1985,62.8
1986,75.3
1987,61.1
1988,116.3
1989,136.4
1990,95.7
1991,86.6
1992,92.8
1993,61.2
1994,82.3
1995,98.2
1996,63.2
1997,65.4
1998,54.7
1999,78.4
2000,82.6
2001,77.8
2002,153.6
2003,82.6
2004,142.8
2005,102.4
2006,113.4
2007,68.6
2008,77.7
2009,149.6
2010,100.7
2011,98.1
2012,108.2
2013,79.4
2014,78.9
