UF,PA
Cidade,ALTAMIRA
Nome Posto,CAJUEIRO
Latitude,-5.650277777777778
Longitude,-54.520833333333336
Codigo,554000
Qtd. Anos,44
Ano,Maxima
1975,89.6
1976,127
1977,92.2
1978,95
1979,103.6
1980,91
1981,90.6
1982,124.6
1983,110.6
1984,69.6
1985,169.6
1986,65.8
1987,128.8
1989,58.3
1990,86.6
1991,78.9
1992,71
1993,68.1
1994,126
1995,142.8
1996,76.3
1997,76.7
1998,93
1999,72.7
2000,92
2001,66
2002,84.1
2003,40
2004,46.9
2005,65.5
2006,99.8
2007,59.2
2008,50.7
2009,86.5
2010,86.5
2011,89.4
2012,83.9
2013,9.4
2014,41.2
2015,66.5
2016,63.8
2017,69.5
2018,117.1
2019,140
