UF,PA
Cidade,TOME-ACU
Nome Posto,TOME-ACU
Latitude,-2.4208333333333334
Longitude,-48.14888888888889
Codigo,248003
Qtd. Anos,36
Ano,Maxima
1984,119
1985,124.8
1986,102.4
1987,86.9
1988,91.2
1989,110.9
1990,97.7
1991,104.1
1992,73.3
1993,95.5
1994,78.6
1995,93.9
1996,135.7
1997,104.4
1998,113.1
1999,97.8
2000,98
2001,106.9
2002,105.4
2003,59.6
2004,85.1
2005,126.4
2006,97
2007,83.5
2008,94.1
2009,125.2
2010,90.1
2011,110.8
2012,94
2013,113.7
2014,69.6
2015,82.2
2016,61.4
2017,110.2
2018,108.9
2019,63.5
