UF,MA
Cidade,MIRADOR
Nome Posto,MIRADOR
Latitude,-6.369166666666667
Longitude,-44.35944444444445
Codigo,644007
Qtd. Anos,50
Ano,Maxima
1970,50.2
1971,123
1972,79.6
1973,84.2
1974,70
1975,36.5
1976,83.2
1977,106.6
1978,63.1
1979,68.2
1980,102.2
1981,52.4
1982,61.3
1983,73.2
1984,52.2
1985,83.4
1986,64.1
1987,90.2
1988,69.3
1989,77.2
1990,68.2
1991,115.3
1992,86
1993,77.5
1994,55
1995,98.1
1996,87.9
1997,107.1
1998,82.6
1999,149.1
2000,63.7
2001,103.5
2002,54.3
2003,70.2
2004,93.9
2005,89.2
2006,73.3
2007,51.6
2008,66.9
2009,115.7
2010,103.7
2011,85
2012,109.5
2013,81.1
2014,61.2
2015,58.9
2016,83.2
2017,68.4
2018,129.2
2019,49.1
