UF,MA
Cidade,BURITI
Nome Posto,BURITIRAMA
Latitude,-5.594444444444444
Longitude,-47.01916666666666
Codigo,547005
Qtd. Anos,38
Ano,Maxima
1982,60.8
1983,86
1984,75
1985,65
1986,62.4
1987,63.8
1988,95.8
1989,100
1990,90.2
1991,122.4
1992,79
1993,65
1994,123
1995,107.4
1996,158.2
1997,96.2
1998,61
1999,91.2
2000,82.5
2001,65.2
2002,64.8
2003,95.7
2004,126.1
2005,61.2
2006,105
2007,122.3
2008,128.6
2009,80.3
2010,184.2
2011,63.6
2012,68.8
2013,109.5
2014,84.2
2015,58.9
2016,111.5
2017,138.4
2018,72.3
2019,81.1
