UF,MA
Cidade,COROATA
Nome Posto,COROATA
Latitude,-4.162777777777778
Longitude,-44.16583333333333
Codigo,444001
Qtd. Anos,55
Ano,Maxima
1965,36.8
1966,59.1
1967,83.5
1968,68.7
1969,62.3
1970,98.2
1971,63.1
1972,59.7
1973,50.3
1974,42.4
1975,51
1976,50.5
1977,73.7
1978,82.4
1979,95.4
1980,76.2
1981,72.8
1982,116.6
1983,125.8
1984,136.5
1985,117.2
1986,78.2
1987,78.8
1988,98.6
1989,106.2
1990,70.2
1991,103.4
1992,95
1993,124.4
1994,115.4
1995,86.7
1996,113.8
1997,97.8
1998,119.5
1999,86.9
2000,109.2
2001,78.9
2002,78.6
2003,111.3
2004,126
2005,86.2
2006,100.7
2007,117.5
2008,133.5
2009,106.6
2010,71.3
2011,140.5
2012,78.9
2013,144.9
2014,86.7
2015,99
2016,109.3
2017,70.4
2018,226.1
2019,58.8
