UF,MA
Cidade,CODO
Nome Posto,FAZENDA SOBRAL
Latitude,-4.464444444444444
Longitude,-43.93111111111111
Codigo,443007
Qtd. Anos,48
Ano,Maxima
1972,73.1
1973,71.6
1974,59.8
1975,81.5
1976,72
1977,145.8
1978,83.4
1979,151.3
1980,78.6
1981,78.6
1982,73
1983,84.9
1984,58.7
1985,113.6
1986,95.6
1987,100
1988,211
1989,127.1
1990,80
1991,140
1992,122.7
1993,82.3
1994,90.3
1995,90.5
1996,65.2
1997,93
1998,63.5
1999,98
2000,89
2001,68
2002,76
2003,98.3
2004,118.3
2005,144
2006,90.4
2007,63.5
2008,60.5
2009,102.8
2010,116.2
2011,86.1
2012,65.6
2013,38
2014,74.3
2015,77.4
2016,46.7
2017,50.5
2018,66
2019,77.4
