UF,MA
Cidade,SAMBAIBA
Nome Posto,SAMBAIBA
Latitude,-7.141111111111112
Longitude,-45.346111111111114
Codigo,745004
Qtd. Anos,43
Ano,Maxima
1977,69.2
1978,87.2
1979,142.5
1980,83.5
1981,68.9
1982,66.7
1983,72.5
1984,71
1985,125.6
1986,59
1987,66.2
1988,69.4
1989,70
1990,79
1991,63
1992,121.3
1993,58.4
1994,68.4
1995,66.4
1996,83
1997,60
1998,76.6
1999,66.6
2000,103.1
2001,87.5
2002,92.5
2003,101
2004,99
2005,110.4
2006,167.3
2007,95.3
2008,91.5
2009,59
2010,96.3
2011,80.6
2012,74
2013,98.6
2014,107.1
2015,104.3
2016,110
2017,77.7
2018,72.2
2019,83.1
