UF,MA
Cidade,GRAJAU
Nome Posto,FAZENDA SAO VICENTE
Latitude,-6.818333333333333
Longitude,-46.33361111111111
Codigo,646005
Qtd. Anos,36
Ano,Maxima
1984,32.9
1985,89.2
1986,88.2
1987,81.3
1988,188.4
1989,330.2
1990,84.5
1991,102
1992,132.5
1993,70
1994,70.9
1995,96
1996,64.6
1997,85.1
1998,72.1
1999,101.9
2000,57.1
2001,71.8
2002,73.4
2003,105.5
2004,109.1
2005,161
2006,75.3
2007,117.5
2008,89.2
2009,67.2
2010,53.3
2011,81.1
2012,40.8
2013,116.2
2014,75.9
2015,47
2016,164.2
2017,75.1
2018,153.5
2019,81.2
