UF,MA
Cidade,PRESIDENTE DUTRA
Nome Posto,FLORES
Latitude,-5.419722222222222
Longitude,-44.92833333333333
Codigo,544006
Qtd. Anos,48
Ano,Maxima
1972,43
1973,110.5
1974,98.6
1975,60.8
1976,60.2
1977,131.3
1978,113.7
1979,63.9
1980,78.2
1981,88.3
1982,88.9
1983,61.6
1984,51.2
1985,109.3
1986,84.5
1987,73.5
1988,155.6
1989,110.5
1990,58.3
1991,42.4
1992,95.3
1993,50.7
1994,93.4
1995,89.4
1996,113.5
1997,86.5
1998,60.3
1999,68.3
2000,73.7
2001,76.3
2002,75.3
2003,65.7
2004,68.7
2005,82.5
2006,81.9
2007,69.2
2008,58.9
2009,74.5
2010,122.1
2011,114.2
2012,71.3
2013,72.9
2014,147.9
2015,55.8
2016,87.4
2017,66.7
2018,138
2019,49.5
