UF,MA
Cidade,DUQUE BACELAR
Nome Posto,DUQUE BACELAR
Latitude,-4.152777777777779
Longitude,-42.94611111111111
Codigo,442013
Qtd. Anos,36
Ano,Maxima
1984,60.1
1985,90.2
1986,74
1987,98
1988,81.3
1989,120.6
1990,80
1991,90.2
1992,94.5
1993,111.2
1994,89.5
1995,67.6
1996,91.2
1997,157
1998,94.8
1999,82.5
2000,105.3
2001,69.1
2002,77.1
2003,99.1
2004,126.1
2005,123.7
2006,77.2
2007,78.2
2008,95.2
2009,122.4
2010,89.9
2011,108.1
2012,86.1
2013,76.6
2014,69.7
2015,71.4
2016,49
2017,57.8
2018,130.6
2019,97.3
