UF,MA
Cidade,MONCAO
Nome Posto,NEWTON BELO
Latitude,-3.424444444444444
Longitude,-45.669444444444444
Codigo,345013
Qtd. Anos,36
Ano,Maxima
1984,75
1985,72.6
1986,98.6
1987,68.6
1988,79.7
1989,154.8
1990,78.6
1991,105.7
1992,137.2
1993,100
1994,124.6
1995,77.5
1996,77.3
1997,97.4
1998,112.3
1999,68.8
2000,72.2
2001,81
2002,89.4
2003,74.6
2004,90.9
2005,113.3
2006,146.4
2007,147
2008,158.3
2009,110.3
2010,105.3
2011,117
2012,90.7
2013,81
2014,85.9
2015,95
2016,79.6
2017,95.5
2018,136.4
2019,100.1
