UF,MA
Cidade,GRAJAU
Nome Posto,ARAME
Latitude,-4.886388888888888
Longitude,-46.01138888888889
Codigo,445008
Qtd. Anos,37
Ano,Maxima
1983,60.2
1984,65
1985,91.4
1986,86.4
1987,109.2
1988,103.4
1989,80.7
1990,54.1
1991,73.8
1992,90.6
1993,81.8
1994,74.8
1995,86.8
1996,66.2
1997,80.6
1998,90.3
1999,87.2
2000,78.1
2001,81.4
2002,155.6
2003,52.6
2004,58.5
2005,68.5
2006,58.9
2007,69.5
2008,130
2009,69.9
2010,98.4
2011,98
2012,45.5
2013,47.3
2014,35.1
2015,42.2
2016,55.6
2017,96.6
2018,95.9
2019,92.3
