UF,MA
Cidade,PIRAPEMAS
Nome Posto,PEDRAS
Latitude,-3.943611111111111
Longitude,-44.0175
Codigo,344008
Qtd. Anos,41
Ano,Maxima
1979,70.1
1980,80.1
1981,100
1982,96
1983,95
1984,127
1985,119
1986,80
1987,63
1988,91
1989,106.4
1990,60.2
1991,132.3
1992,70.5
1993,144.1
1994,101.9
1995,105.4
1996,104.8
1997,93.8
1998,125.5
1999,86.5
2000,58.8
2001,56.5
2002,121.9
2003,125.7
2004,132.1
2005,78.9
2006,75.9
2007,66.8
2008,133.6
2009,163.3
2010,86.4
2011,111.8
2012,60.1
2013,82.3
2014,113.3
2015,123.8
2016,81.6
2017,62.1
2018,136.2
2019,65.4
