UF,MA
Cidade,SANTA LUZIA
Nome Posto,ESPERANTINA
Latitude,-4.030277777777778
Longitude,-45.77111111111111
Codigo,445001
Qtd. Anos,47
Ano,Maxima
1973,61
1974,78.6
1975,118.3
1976,61.1
1977,94.8
1978,68.8
1979,74.8
1980,74.8
1981,90.2
1982,59.8
1983,120
1984,69.8
1985,200.3
1986,153.7
1987,78.4
1988,73.8
1989,102.7
1990,53.4
1991,120.3
1992,89.3
1993,143
1994,109
1995,85.5
1996,137
1997,104.5
1998,135
1999,110
2000,125.4
2001,93
2002,134.6
2003,109
2004,106.8
2005,98
2006,110.5
2007,138.6
2008,125
2009,68
2010,57.3
2011,117.2
2012,69.3
2013,81
2014,104.4
2015,83.3
2016,174.9
2017,104.6
2018,107.9
2019,117.9
