UF,MA
Cidade,PASSAGEM FRANCA
Nome Posto,VEREDA GRANDE
Latitude,-5.97
Longitude,-43.41583333333333
Codigo,543011
Qtd. Anos,36
Ano,Maxima
1984,35.8
1985,105.6
1986,124.4
1987,149.8
1988,123.2
1989,166.2
1990,62.8
1991,80
1992,60.4
1993,64.7
1994,95.6
1995,83.2
1996,135.7
1997,147.3
1998,65.4
1999,167.3
2000,88.7
2001,132.5
2002,88.1
2003,144.8
2004,103.1
2005,74.6
2006,132.1
2007,102.7
2008,299.6
2009,148.7
2010,68.7
2011,61.5
2012,94.6
2013,80.9
2014,72.6
2015,68.3
2016,131.6
2017,47.7
2018,89.5
2019,70.9
