UF,MA
Cidade,ALTO PARNAIBA
Nome Posto,BOA VISTA
Latitude,-8.812777777777779
Longitude,-46.07805555555556
Codigo,846005
Qtd. Anos,36
Ano,Maxima
1984,37.5
1985,104
1986,92.5
1987,107.2
1988,87.9
1989,699.1
1990,81.6
1991,83.1
1992,82.3
1993,87.5
1994,94.2
1995,84.2
1996,83.9
1997,54.2
1998,62.1
1999,92.9
2000,95.7
2001,47.2
2002,63.7
2003,93.7
2004,132.2
2005,77.7
2006,60
2007,63.3
2008,52
2009,51.8
2010,67.2
2011,95
2012,63.1
2013,65.2
2014,145.7
2015,62.8
2016,78.7
2017,58.3
2018,93.5
2019,48.7
