UF,MA
Cidade,BALSAS
Nome Posto,BALSAS
Latitude,-7.523333333333333
Longitude,-46.03388888888889
Codigo,746006
Qtd. Anos,38
Ano,Maxima
1982,82.2
1983,148.8
1984,58.2
1985,148.4
1986,95.2
1987,82.2
1988,98.2
1989,75
1990,81.6
1991,130.6
1992,85.2
1993,75
1994,68.1
1995,132.8
1996,119
1997,85.2
1998,69
1999,105.1
2000,69.1
2001,78.1
2002,67.1
2003,90.3
2004,114.8
2005,83.2
2006,133.7
2007,107
2008,140.9
2009,98.7
2010,62.7
2011,106.5
2012,97.9
2013,161.2
2014,59.8
2015,51.9
2016,206.7
2017,94.7
2018,138
2019,63.1
