UF,MA
Cidade,VARGEM GRANDE
Nome Posto,MUNIM
Latitude,-3.46
Longitude,-43.89944444444444
Codigo,343004
Qtd. Anos,47
Ano,Maxima
1973,89
1974,71.5
1975,48
1976,92
1977,96
1978,100
1979,66
1980,72.2
1981,124
1982,70.4
1983,66.4
1984,98.2
1985,91.6
1986,109.6
1987,65.6
1988,105.4
1989,69.2
1990,52.6
1991,50.4
1992,76.2
1993,62.2
1994,82.6
1995,121.2
1996,94.5
1997,85.4
1998,78.8
1999,96.2
2000,59.5
2001,82.7
2002,91
2003,98
2004,73.5
2005,120.5
2006,61.8
2007,58.8
2008,98.5
2009,73.9
2010,72.5
2011,116.8
2012,120.3
2013,55.3
2014,70.8
2015,64.7
2016,55.3
2017,86
2018,68.9
2019,77.7
