UF,MA
Cidade,VITORIA DO MEARIM
Nome Posto,LAGO ACU
Latitude,-3.846388888888889
Longitude,-44.89083333333333
Codigo,344013
Qtd. Anos,36
Ano,Maxima
1984,25.5
1985,153.6
1986,153.1
1987,117
1988,59
1989,62
1990,70
1991,52
1992,158.9
1993,58.2
1994,78.2
1995,51.7
1996,127.1
1997,86.2
1998,91.5
1999,62.7
2000,76.7
2001,81.2
2002,85
2003,91.2
2004,116.1
2005,128.9
2006,116.6
2007,107.5
2008,94.5
2009,94.7
2010,99.5
2011,64.2
2012,87.9
2013,82.7
2014,88.9
2015,125.6
2016,86.6
2017,85.7
2018,171.9
2019,184.1
