UF,MA
Cidade,CODO
Nome Posto,CODO
Latitude,-4.454166666666667
Longitude,-43.87722222222222
Codigo,443006
Qtd. Anos,55
Ano,Maxima
1965,52
1966,162
1967,102.3
1968,107
1969,70
1970,94.8
1971,98.4
1972,88.8
1973,90
1974,73.4
1975,90.6
1976,95.6
1977,158
1978,92.2
1979,81.2
1980,86.6
1981,70.6
1982,69.3
1983,97.7
1984,146.8
1985,132.8
1986,120.8
1987,74.2
1988,114
1989,103.7
1990,74.4
1991,109.4
1992,90.9
1993,90.4
1994,70
1995,112.3
1996,118.2
1997,110.2
1998,75.4
1999,107.2
2000,131.2
2001,76.3
2002,84
2003,124.8
2004,115.7
2005,117.3
2006,71.7
2007,60.8
2008,101.5
2009,94.5
2010,87.7
2011,53.2
2012,71.8
2013,59.9
2014,67.3
2015,65.7
2016,103.6
2017,110.7
2018,94.9
2019,69
