UF,MA
Cidade,MIRADOR
Nome Posto,PORTO DO LOPES
Latitude,-6.010277777777778
Longitude,-44.34444444444445
Codigo,644012
Qtd. Anos,50
Ano,Maxima
1970,64.2
1971,144.6
1972,81.8
1973,60
1974,76.8
1975,72.3
1976,130.2
1977,73
1978,64.4
1979,86.8
1980,70
1981,93.4
1982,121.1
1983,76.4
1984,73.2
1985,96.4
1986,94.2
1987,89.4
1988,82.2
1989,110.2
1990,32.8
1991,74.4
1992,121.2
1993,63.4
1994,89.4
1995,83.4
1996,82.4
1997,86.1
1998,52.1
1999,70.4
2000,69.1
2001,65.8
2002,82.6
2003,90.3
2004,137.6
2005,86.9
2006,77.2
2007,47.6
2008,49.4
2009,76.3
2010,48.9
2011,94.4
2012,38.3
2013,46.8
2014,74.6
2015,54.8
2016,51.2
2017,41.4
2018,82.6
2019,58.2
