UF,MA
Cidade,PINDARE-MIRIM
Nome Posto,PINDARE-MIRIM
Latitude,-3.658333333333333
Longitude,-45.44305555555555
Codigo,345006
Qtd. Anos,48
Ano,Maxima
1972,87.6
1973,105.8
1974,58.2
1975,93.8
1976,61.4
1977,70.2
1978,76.4
1979,90.4
1980,98.2
1981,56.4
1982,111.2
1983,90
1984,60.4
1985,106.4
1986,111.6
1987,84.6
1988,107.6
1989,132
1990,97.7
1991,99.2
1992,99.3
1993,90.7
1994,65.2
1995,86
1996,157.1
1997,73.9
1998,97.8
1999,149.9
2000,96.1
2001,93.1
2002,80.7
2003,126.1
2004,144.2
2005,105.4
2006,147.7
2007,116.5
2008,95.3
2009,110.3
2010,75.4
2011,78.5
2012,81.1
2013,138.5
2014,75.3
2015,93.5
2016,95.2
2017,71
2018,94.2
2019,48.7
