UF,MA
Cidade,BELA VISTA DO MARANHAO
Nome Posto,ARATOI GRANDE
Latitude,-3.765
Longitude,-45.22027777777778
Codigo,345000
Qtd. Anos,50
Ano,Maxima
1970,75
1971,71
1972,116
1973,106
1974,91
1975,100
1976,75
1977,114
1978,111
1979,82
1980,107
1981,85.6
1982,71
1983,136.2
1984,98.2
1985,87.6
1986,80.2
1987,49
1988,104.8
1989,88.6
1990,99.6
1991,80.2
1992,95.3
1993,99.4
1994,132.3
1995,101.2
1996,127.1
1997,83.9
1998,162.2
1999,112.8
2000,109.8
2001,59.9
2002,116.5
2003,89.3
2004,102.6
2005,101.7
2006,136.3
2007,196.3
2008,99.7
2009,57.5
2010,63.4
2011,27
2012,70.5
2013,103.4
2014,70.6
2015,123.5
2016,116.2
2017,169
2018,90.5
2019,123.5
