UF,MA
Cidade,CANTANHEDE
Nome Posto,CANTANHEDE
Latitude,-3.6325
Longitude,-44.37638888888889
Codigo,344004
Qtd. Anos,52
Ano,Maxima
1968,30.3
1969,105
1970,175
1971,68.4
1972,100.5
1973,102.4
1974,98.5
1975,98.5
1976,95.4
1977,110.4
1978,100.2
1979,92.4
1980,82.1
1981,83.2
1982,83.9
1983,65.3
1984,114.5
1985,132.2
1986,97.6
1987,80
1988,108
1989,96
1990,95
1991,85.4
1992,107.9
1993,84.3
1994,67.4
1995,94.8
1996,76.8
1997,127.2
1998,111.6
1999,107.5
2000,91.8
2001,63.6
2002,63.6
2003,139.9
2004,190.3
2005,95.8
2006,159.4
2007,121.4
2008,123.2
2009,109.4
2010,83.3
2011,102
2012,55.7
2013,117.3
2014,93.6
2015,63.9
2016,77.5
2017,123.9
2018,100.5
2019,69.3
