UF,MA
Cidade,BARRA DO CORDA
Nome Posto,SANTA VITORIA
Latitude,-5.101388888888889
Longitude,-44.96083333333333
Codigo,444008
Qtd. Anos,45
Ano,Maxima
1972,88.6
1976,49.5
1977,134
1978,77.8
1979,122.6
1980,91.2
1981,139.8
1982,94.4
1983,81
1984,89.6
1985,98.4
1986,90.8
1987,69.6
1988,106.2
1989,85.8
1990,90.8
1991,86.8
1992,104.7
1993,64.7
1994,101.7
1995,76.5
1996,110.8
1997,38.7
1998,95.7
1999,110.2
2000,118.4
2001,85.8
2002,86.2
2003,48.3
2004,68.2
2005,83.6
2006,69.5
2007,95.2
2008,114
2009,106.8
2010,57.3
2011,77
2012,63.9
2013,83.4
2014,167.1
2015,50.3
2016,98.7
2017,120.4
2018,109.4
2019,108.5
