UF,MA
Cidade,COLINAS
Nome Posto,COLINAS
Latitude,-6.0275
Longitude,-44.25388888888889
Codigo,644003
Qtd. Anos,52
Ano,Maxima
1968,40.2
1969,70.3
1970,64.2
1971,56.2
1972,82.4
1973,86.1
1974,107
1975,63.2
1976,79
1977,67
1978,125.6
1979,75.8
1980,119.2
1981,114.4
1982,72
1983,66.2
1984,85.8
1985,75.2
1986,111.6
1987,104.4
1988,78
1989,79.3
1990,72
1991,67.4
1992,113.6
1993,80.8
1994,73.8
1995,75.2
1996,73.7
1997,77.8
1998,56.1
1999,164.3
2000,89
2001,69.9
2002,126.7
2003,85.5
2004,105.5
2005,132.8
2006,81.4
2007,62.9
2008,55.8
2009,98.6
2010,115
2011,132
2012,52.9
2013,74.6
2014,70
2015,48.6
2016,93.3
2017,82.5
2018,66.5
2019,57
