UF,MA
Cidade,SAO FELIX DE BALSAS
Nome Posto,SAO FELIX DE BALSAS
Latitude,-7.081388888888888
Longitude,-44.8125
Codigo,744000
Qtd. Anos,55
Ano,Maxima
1965,48
1966,63.8
1967,53.8
1968,65.2
1969,105.9
1970,80.6
1971,71
1972,71.2
1973,50
1974,59.6
1975,91.5
1976,75.3
1977,68.8
1978,98
1979,82
1980,54.8
1981,125.8
1982,90.2
1983,100.2
1984,83.8
1985,96.8
1986,57.5
1987,68
1988,87.8
1989,70.9
1990,68.6
1991,67.7
1992,78.9
1993,72.3
1994,67.2
1995,99.8
1996,84.5
1997,49.4
1998,49.5
1999,70.3
2000,76.1
2001,80.2
2002,81.2
2003,102.7
2004,84.7
2005,86.9
2006,136.7
2007,86.3
2008,60.2
2009,135.1
2010,80.7
2011,62.7
2012,63.8
2013,56.7
2014,77.4
2015,126.6
2016,98.1
2017,92
2018,59.8
2019,41.8
