UF,MA
Cidade,BARAO DE GRAJAU
Nome Posto,LAGES
Latitude,-6.609999999999999
Longitude,-43.401111111111106
Codigo,643011
Qtd. Anos,38
Ano,Maxima
1982,120.4
1983,85.2
1984,75
1985,98.2
1986,87.6
1987,62.6
1988,85.1
1989,116.6
1990,121.3
1991,133.6
1992,86.1
1993,47.5
1994,90.8
1995,116.3
1996,95.7
1997,82.1
1998,67.3
1999,77.9
2000,80.9
2001,54.8
2002,76.6
2003,73.6
2004,128.7
2005,86
2006,104.3
2007,161.3
2008,95.7
2009,66.3
2010,66.3
2011,87.1
2012,133.9
2013,110.1
2014,203.5
2015,108.1
2016,67.8
2017,116.5
2018,78
2019,66.1
