UF,MA
Cidade,IMPERATRIZ
Nome Posto,IMPERATRIZ
Latitude,-5.535
Longitude,-47.47833333333333
Codigo,547000
Qtd. Anos,82
Ano,Maxima
1913,65.1
1925,62.5
1926,89.7
1927,75.8
1928,86.7
1929,63.5
1930,79.4
1931,89.6
1933,84.4
1934,76.6
1935,64
1938,50
1939,107
1940,72
1941,102
1942,68
1943,69
1944,69.6
1945,69.2
1946,67.8
1947,85.2
1948,66
1949,85.6
1950,68.4
1951,71.4
1952,63.4
1953,82.4
1954,110
1955,90.6
1956,86
1957,99
1958,65.2
1961,75
1962,95
1963,97.7
1964,95.4
1965,78
1966,91.2
1967,78.4
1968,68.9
1969,69
1970,142.6
1976,46
1977,76.3
1978,115.7
1979,106
1980,93.4
1981,61
1982,72.8
1983,81
1984,102
1985,98.2
1986,81.2
1987,133.9
1988,65.9
1989,238
1990,78.4
1991,101
1992,70
1993,75.6
1994,119
1995,122.9
1996,107.5
1997,72.5
1998,70.7
1999,67.3
2000,84.6
2001,61
2002,80.5
2003,59.5
2004,72.5
2005,71
2006,90.5
2007,81
2008,89
2009,100.6
2010,76.6
2011,147.6
2012,139
2013,120
2014,80.1
2015,70.7
