UF,MA
Cidade,BARRA DO CORDA
Nome Posto,PAPAGAIO
Latitude,-6.002222222222223
Longitude,-45.39416666666666
Codigo,645002
Qtd. Anos,37
Ano,Maxima
1983,72.3
1984,101.2
1985,112
1986,103.6
1987,167.8
1988,134.2
1989,104.6
1990,79.6
1991,57.2
1992,174
1993,38.4
1994,58.3
1995,113
1996,76.4
1997,81.3
1998,46.8
1999,128.3
2000,110.5
2001,103.4
2002,110.8
2003,47.2
2004,86.1
2005,127.4
2006,79.4
2007,76.2
2008,120.4
2009,80.4
2010,84.2
2011,96.6
2012,65.3
2013,46.8
2014,115.9
2015,90
2016,87.5
2017,93.5
2018,79.2
2019,83.1
