UF,MA
Cidade,MONCAO
Nome Posto,ALTO TURI
Latitude,-2.9538888888888892
Longitude,-45.664722222222224
Codigo,245001
Qtd. Anos,48
Ano,Maxima
1972,50
1973,47.4
1974,90.4
1975,104.8
1976,112
1977,141
1978,102.4
1979,88.5
1980,78.8
1981,96
1982,73.4
1983,81.1
1984,69.4
1985,132.8
1986,120
1987,62
1988,121.5
1989,139.5
1990,75.9
1991,105.6
1992,72.1
1993,119.7
1994,83.1
1995,79.1
1996,97.4
1997,65.7
1998,65.3
1999,101.4
2000,60.6
2001,69
2002,126.8
2003,88.1
2004,101.6
2005,116.7
2006,89.4
2007,86.9
2008,119.8
2009,138.7
2010,80.4
2011,128.3
2012,59.5
2013,65
2014,83
2015,97.5
2016,99.8
2017,85.7
2018,106.4
2019,103.7
