UF,MA
Cidade,PASSAGEM FRANCA
Nome Posto,PASSAGEM FRANCA
Latitude,-6.174722222222223
Longitude,-43.77916666666667
Codigo,643012
Qtd. Anos,38
Ano,Maxima
1982,58.9
1983,131.6
1984,49.2
1985,110.2
1986,130.2
1987,78.6
1988,57.2
1989,86.2
1990,70.4
1991,50.8
1992,68.2
1993,48.6
1994,75.6
1995,85.3
1996,85.7
1997,178.2
1998,58.6
1999,118.6
2000,76.2
2001,94.2
2002,126
2003,83.3
2004,98.5
2005,120
2006,67.5
2007,72.3
2008,98.7
2009,92.2
2010,56.3
2011,80
2012,84.2
2013,95.2
2014,71.2
2015,52.9
2016,38.8
2017,71.6
2018,92.4
2019,95.5
