UF,MA
Cidade,SAO LUIS
Nome Posto,SAO LUIS
Latitude,-2.8833333333333333
Longitude,-44.35
Codigo,244006
Qtd. Anos,88
Ano,Maxima
1910,88
1911,13.3
1912,73.6
1913,70
1914,88.2
1915,72
1916,222.7
1917,161.4
1918,128.6
1919,90.4
1920,110.6
1921,105.1
1922,73.4
1923,92.1
1924,100.4
1925,73.4
1926,128.2
1927,87.5
1928,99
1929,100
1930,98.4
1931,161
1932,81
1933,257.1
1934,116
1935,114.2
1936,82
1937,122.2
1938,90.2
1939,99
1940,125
1941,142.1
1942,72.3
1943,87
1944,82.4
1961,82.8
1962,102.5
1963,54.3
1970,22.8
1971,114
1972,61.5
1973,92.5
1974,177.2
1975,68.6
1976,128.5
1977,103.4
1978,85.9
1979,165
1980,210
1981,126.5
1982,79
1983,120
1984,155.2
1985,161.4
1986,108.9
1987,122.2
1988,109.7
1989,130.3
1990,149.8
1991,152.5
1992,126.5
1993,159.7
1994,134.4
1995,91.5
1996,124.3
1997,71.3
1998,80.3
1999,130.3
2000,159.8
2001,104.6
2002,76.4
2003,144.4
2004,118
2005,65.6
2006,116
2007,123.9
2008,133
2009,154.9
2010,162.2
2011,187.8
2012,108.3
2013,145
2014,181.6
2015,98.2
2016,79.2
2017,130.6
2018,159.2
2019,234.4
