UF,MA
Cidade,SAO MATEUS DO MARANHAO
Nome Posto,SAO MATEUS DO MARANHAO
Latitude,-4.032222222222222
Longitude,-44.471944444444446
Codigo,344011
Qtd. Anos,37
Ano,Maxima
1983,108
1984,106.2
1985,134
1986,131.3
1987,102.7
1988,37.2
1989,108.4
1990,75
1991,68.8
1992,82.4
1993,50.4
1994,120.2
1995,82.5
1996,81.7
1997,79.9
1998,82.5
1999,144.6
2000,87.8
2001,94.6
2002,81.3
2003,66.1
2004,147.7
2005,139.3
2006,83.7
2007,72.7
2008,95.3
2009,110
2010,95
2011,116
2012,72.7
2013,70.8
2014,78.6
2015,43.6
2016,42.8
2017,131
2018,130.8
2019,85.2
