UF,MA
Cidade,PEDREIRAS
Nome Posto,PEDREIRAS II
Latitude,-4.570277777777777
Longitude,-44.605000000000004
Codigo,444005
Qtd. Anos,52
Ano,Maxima
1968,53
1969,55.6
1970,73.4
1971,98.6
1972,48.4
1973,73
1974,79
1975,69.4
1976,87
1977,137.2
1978,113.8
1979,150.4
1980,133.2
1981,96.4
1982,88.6
1983,95.2
1984,76.4
1985,104.2
1986,95.9
1987,112.2
1988,78.2
1989,113
1990,59.4
1991,54.2
1992,82
1993,60
1994,126.3
1995,77.9
1996,81.5
1997,69
1998,92.5
1999,83
2000,60
2001,91.6
2002,53.6
2003,78
2004,94
2005,137.8
2006,65.8
2007,93
2008,83.4
2009,116.8
2010,118.4
2011,75.1
2012,57.9
2013,66.7
2014,81
2015,49.5
2016,149.7
2017,69
2018,77.8
2019,71.4
