UF,MA
Cidade,GRAJAU
Nome Posto,FAZENDA SEMPRE VIVA
Latitude,-6.192777777777778
Longitude,-46.26888888888889
Codigo,646006
Qtd. Anos,36
Ano,Maxima
1984,58.2
1985,101.3
1986,73.4
1987,118.8
1988,88.3
1989,89.1
1990,103.3
1991,105.1
1992,139.5
1993,55.3
1994,54.5
1995,101.4
1996,74.7
1997,168.2
1998,136.8
1999,86
2000,140
2001,52.1
2002,97
2003,184.5
2004,92.6
2005,80
2006,98.7
2007,88.3
2008,82.9
2009,90.7
2010,114.9
2011,91.1
2012,67.9
2013,67.9
2014,88.4
2015,56.8
2016,63.8
2017,86.6
2018,118
2019,68
