UF,MA
Cidade,ALTO PARNAIBA
Nome Posto,INHUMAS
Latitude,-8.821111111111112
Longitude,-45.96805555555556
Codigo,845005
Qtd. Anos,36
Ano,Maxima
1984,48
1985,101.3
1986,93.4
1987,76.5
1988,100.5
1989,52
1990,101.3
1991,79
1992,98.7
1993,66.5
1994,112.1
1995,74.3
1996,100.2
1997,51.3
1998,117.3
1999,75.7
2000,57.8
2001,67.4
2002,65.3
2003,76.6
2004,119.1
2005,79.8
2006,66.1
2007,82.2
2008,89.9
2009,64.9
2010,67.8
2011,92.3
2012,78.8
2013,61.3
2014,83.2
2015,83.5
2016,78.8
2017,84.5
2018,72.4
2019,68.6
