UF,MA
Cidade,RIACHAO
Nome Posto,MORRO VERMELHO
Latitude,-7.1577777777777785
Longitude,-46.55444444444444
Codigo,746008
Qtd. Anos,36
Ano,Maxima
1984,59.6
1985,119.6
1986,83.6
1987,78
1988,98.6
1989,72.4
1990,65
1991,59.3
1992,63.2
1993,50
1994,44
1995,50.5
1996,60.1
1997,100.6
1998,70.3
1999,80.7
2000,70.3
2001,50.6
2002,70.1
2003,70
2004,90.8
2005,100.3
2006,90.2
2007,130.1
2008,90.7
2009,100.5
2010,90.9
2011,100.3
2012,110.2
2013,60.6
2014,90
2015,100.2
2016,120.3
2017,65.5
2018,74.8
2019,52.8
