UF,MA
Cidade,ALTO PARNAIBA
Nome Posto,ALTO PARNAIBA-2
Latitude,-9.113055555555555
Longitude,-45.92611111111111
Codigo,945011
Qtd. Anos,37
Ano,Maxima
1983,47.2
1984,100
1985,82.2
1986,74.3
1987,124.2
1988,71
1989,125.4
1990,71.1
1991,123.4
1992,130.2
1993,110.2
1994,59.4
1995,56
1996,78.4
1997,66.2
1998,65.2
1999,71.6
2000,89
2001,66.1
2002,67.2
2003,65.7
2004,113.5
2005,119.3
2006,91.1
2007,64.5
2008,69.5
2009,144.1
2010,57.5
2011,96.6
2012,60.8
2013,115
2014,55.9
2015,70.6
2016,137.3
2017,106.5
2018,100.3
2019,38
