UF,MA
Cidade,SANTA LUZIA
Nome Posto,PONTE BR-222
Latitude,-4.304166666666666
Longitude,-46.493611111111115
Codigo,446000
Qtd. Anos,38
Ano,Maxima
1982,86.6
1983,107.6
1984,124.8
1985,140
1986,99.7
1987,69.2
1988,86
1989,103.4
1990,68.4
1991,66
1992,142.5
1993,63.4
1994,93.4
1995,89.4
1996,104.5
1997,53
1998,65.2
1999,76.9
2000,99.1
2001,94.3
2002,94.4
2003,102.7
2004,71.4
2005,98.7
2006,147.4
2007,106.7
2008,154.4
2009,55.5
2010,77.6
2011,131.5
2012,60.5
2013,107.4
2014,42.7
2015,76.1
2016,77.9
2017,136.9
2018,128.6
2019,99.1
