UF,MA
Cidade,CANDIDO MENDES
Nome Posto,MARACACUME
Latitude,-2.052222222222222
Longitude,-45.958333333333336
Codigo,245003
Qtd. Anos,49
Ano,Maxima
1971,17.2
1972,39.2
1973,91.2
1974,108.4
1975,65.6
1976,103.6
1977,77.4
1978,110.4
1979,139.8
1980,91.6
1981,49.6
1982,67
1983,73.6
1984,68.8
1985,73.6
1986,102.6
1987,110.8
1988,75.6
1989,111.2
1990,57.7
1991,77.3
1992,101.8
1993,74.9
1994,70.4
1995,109.9
1996,127.8
1997,86.6
1998,99.1
1999,80.7
2000,120
2001,71.5
2002,70.4
2003,135.1
2004,55.9
2005,69.7
2006,83.1
2007,87.5
2008,85.9
2009,64.8
2010,58.9
2011,132
2012,52.5
2013,105.3
2014,133.4
2015,71.5
2016,65.9
2017,68.5
2018,66.3
2019,76.6
